step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
252,PAYMENT,$19753.16,C290019189,,0.0,M955322793,0.0,0.0,0,0
34,CASH_OUT,$132028.75,C1021210666,21196.0,0.0,C183363284,1110617.29,1242646.05,0,0
332,PAYMENT,$4477.95,C497212420,0.0,0.0,M1710786298,0.0,,0,0
528,CASH_OUT,$2173367.35,C662152824,2173367.35,0.0,C1412203460,,,1,0
232,PAYMENT,$9548.05,C1990817075,18968.0,9419.95,M1483463919,0.0,0.0,0,0
492,TRANSFER,$162192.78,C2111179588,162192.78,0.0,C581054448,0.0,0.0,1,0
279,PAYMENT,$3993.71,C1163151163,0.0,0.0,M2142478125,0.0,0.0,0,0
35,TRANSFER,$9465988.82,C851016578,,0.0,C1650562969,0.0,0.0,1,0
397,CASH_IN,$161099.34,C1484227098,,8376429.4,C1108996517,3143448.07,,0,0
357,PAYMENT,$11575.6,C1547131601,3605.0,0.0,M1548893572,0.0,,0,0
345,CASH_OUT,$568762.97,C1825270973,376117.0,0.0,C527545634,2793679.07,,0,0
180,CASH_IN,$157304.85,C1405728035,3707638.67,3864943.52,C1771542424,3241596.04,3084291.19,0,0
181,CASH_OUT,$46296.01,C1143609666,20801.0,0.0,C1703716459,257079.87,303375.88,0,0
328,CASH_IN,$16121.01,C1299975417,20122.0,,C1919885251,,1513816.63,0,0
514,PAYMENT,$17440.66,C1004295532,0.0,0.0,M1803827693,0.0,0.0,0,0
262,CASH_IN,$31676.86,C627720270,21548.0,53224.86,C1146989216,996436.29,964759.43,0,0
162,CASH_IN,$157462.34,C1194948453,22943.0,,C397613007,0.0,0.0,0,0
169,TRANSFER,$310712.71,C287179256,310712.71,0.0,C642298837,0.0,0.0,1,0
34,CASH_OUT,$89590.14,C2033115939,0.0,0.0,C1924761929,7955410.87,8717483.86,0,0
177,TRANSFER,$15515.18,C2003541735,11669.0,0.0,C431006492,169147.94,184663.12,0,0
187,CASH_IN,$50778.52,C466676107,59585.0,110363.52,C1312138639,,0.0,0,0
379,CASH_IN,$216378.4,C1652421481,17001.36,,C1910622489,5482926.79,5266548.39,0,0
41,CASH_OUT,$474427.02,C1264467649,20551.0,0.0,C800453722,302098.21,776525.23,0,0
258,CASH_OUT,$217967.66,C2015167002,214222.49,0.0,C1048454951,1625347.07,1843314.73,0,0
208,CASH_OUT,$154829.84,C1324086984,5083.0,0.0,C1299420778,2001.0,,0,0
277,CASH_OUT,$283380.97,C876492293,40614.0,0.0,C1627596337,0.0,283380.97,0,0
189,TRANSFER,$2100932.52,C1383839538,0.0,0.0,C610650276,2417471.23,4518403.75,0,0
330,CASH_OUT,$46202.83,C1199217143,0.0,0.0,C344256415,412400.57,458603.4,0,0
638,TRANSFER,$43996.54,C856398760,43996.54,0.0,C776566815,0.0,0.0,1,0
227,CASH_IN,$376972.01,C1877944173,729841.27,1106813.27,C643909008,934798.16,,0,0
373,PAYMENT,$280.9,C164853613,0.0,0.0,M208462579,0.0,,0,0
217,TRANSFER,$1052668.73,C737805330,1052668.73,,C95497676,0.0,,1,0
38,CASH_IN,$116216.51,C177391420,1113291.04,1229507.55,C220766773,,6870047.61,0,0
228,PAYMENT,$21912.87,C995051353,366974.41,345061.54,M70771968,0.0,0.0,0,0
531,CASH_OUT,$4791.06,C1736966722,4791.06,,C1399883678,4814602.17,4819393.23,1,0
387,TRANSFER,$245970.86,C174478461,245970.86,0.0,C1779281480,0.0,0.0,1,0
19,CASH_OUT,$61716.57,C1824733488,,0.0,C514588829,0.0,61716.57,0,0
237,CASH_OUT,$334338.54,C1384693108,0.0,0.0,C1234705989,,1016641.96,0,0
403,CASH_OUT,$178107.08,C1194302691,0.0,0.0,C1809466693,2246592.58,2424699.66,0,0
139,PAYMENT,$17488.4,C679002960,0.0,0.0,M1384272595,0.0,0.0,0,0
485,CASH_OUT,$2755588.11,C164780972,2755588.11,0.0,C380842084,2758109.87,5513697.98,1,0
140,CASH_IN,$44108.42,C1479510950,38890.0,,C748687333,,,0,0
397,CASH_IN,$4718.92,C313671856,1955600.2,1960319.12,C1934562824,272223.97,267505.05,0,0
129,PAYMENT,$11059.15,C1157991715,636045.63,624986.48,M832915435,0.0,,0,0
377,PAYMENT,$4558.81,C805983831,0.0,,M678983833,0.0,0.0,0,0
595,PAYMENT,$3530.86,C100561243,0.0,0.0,M1313643825,0.0,,0,0
163,CASH_IN,$99935.98,C2130398156,25080.0,125015.98,C2006455995,455752.9,355816.92,0,0
691,CASH_IN,$329450.81,C953090810,40705.0,370155.81,C1682884504,0.0,0.0,0,0
165,CASH_OUT,$61376.34,C1631081221,0.0,0.0,C2113147858,,436671.67,0,0
375,CASH_OUT,$178323.57,C1503630396,,0.0,C101604582,0.0,178323.57,0,0
163,CASH_OUT,$156515.64,C1253590542,,0.0,C962548781,8753125.97,8909641.61,0,0
45,CASH_OUT,$357836.57,C198543509,,0.0,C824285986,51217.85,,1,0
396,CASH_IN,$97904.85,C1319253371,697121.19,,C1561664158,203080.32,,0,0
17,CASH_OUT,$81078.08,C390571619,21333.0,0.0,C83319654,0.0,81078.08,0,0
260,TRANSFER,$1300.01,C1149995904,1275.0,0.0,C466163170,3237893.24,3239193.25,0,0
332,PAYMENT,$15777.01,C721806678,977.0,0.0,M1255680292,0.0,0.0,0,0
178,CASH_OUT,$70273.62,C510752590,34348.0,,C1506782127,8626221.52,8696495.13,0,0
403,CASH_OUT,$504763.29,C1386248117,0.0,0.0,C1192150823,965841.8,1470605.09,0,0
354,CASH_IN,$90347.27,C1778450546,6244231.42,6334578.69,C733943580,1828710.0,1738362.74,0,0
705,CASH_IN,$327733.58,C302913090,4692016.93,5019750.51,C439423784,503988.54,176254.97,0,0
134,CASH_OUT,$148971.56,C1291181007,0.0,0.0,C1845511767,,674004.11,0,0
522,CASH_OUT,$59605.23,C513649643,0.0,0.0,C1980553195,1032032.91,1091638.13,0,0
205,CASH_IN,$336122.29,C248039890,115414.0,451536.29,C1877818213,66027.53,0.0,0,0
699,TRANSFER,$2763398.31,C577803442,2763398.31,0.0,C619602282,0.0,,1,0
139,PAYMENT,$3411.57,C75537224,3097.0,0.0,M1946813901,0.0,0.0,0,0
370,PAYMENT,$31142.8,C727436862,0.0,0.0,M1509431037,0.0,0.0,0,0
235,CASH_OUT,$81108.89,C1885387617,0.0,,C1419621996,828506.67,909615.56,0,0
249,CASH_OUT,$369448.2,C2020495090,369448.2,0.0,C650699445,0.0,369448.2,1,0
305,CASH_IN,$153677.19,C919417344,2117499.51,2271176.7,C836633488,1677069.54,1523392.36,0,0
47,CASH_OUT,$13172.17,C11443462,13172.17,,C1334228384,0.0,13172.17,1,0
130,PAYMENT,$33526.66,C959662299,20335.0,0.0,M456069232,0.0,0.0,0,0
140,CASH_OUT,$139536.7,C961662249,0.0,0.0,C894848814,201509.41,,0,0
307,PAYMENT,$2746.85,C969013724,0.0,0.0,M1493060457,0.0,0.0,0,0
10,CASH_OUT,$308227.15,C2070525504,37002.0,,C1122524668,697392.95,955113.52,0,0
226,CASH_IN,$204273.15,C11306612,16790.16,221063.31,C711824409,,2610417.33,0,0
371,PAYMENT,$12586.19,C773083202,,,M1738806677,0.0,,0,0
621,CASH_OUT,$1077146.94,C1808236434,1077146.94,0.0,C1802173286,6485.28,1083632.22,1,0
60,CASH_OUT,$45807.51,C981996349,,0.0,C1099066639,267824.05,313631.56,1,0
41,PAYMENT,$358.26,C325749763,5013.78,4655.52,M2128397757,0.0,0.0,0,0
165,CASH_OUT,$167149.73,C79312144,203494.0,36344.27,C542628201,0.0,167149.73,0,0
36,CASH_IN,$36529.98,C688662447,26297971.57,26334501.56,C145705842,75689.41,0.0,0,0
211,PAYMENT,$168.54,C612651377,9946.0,9777.46,M1412905131,,0.0,0,0
39,CASH_IN,$217566.65,C18511652,3649.0,221215.65,C242055818,336458.55,118891.9,0,0
724,CASH_OUT,$506923.53,C438124232,506923.53,0.0,C1360951164,413370.56,920294.09,1,0
348,CASH_OUT,$222506.7,C1526360257,66791.4,0.0,C413456786,1150598.13,1373104.84,0,0
520,CASH_IN,$312722.94,C1096985109,55831.0,368553.94,C1877654893,96222.17,,0,0
394,CASH_IN,$222815.17,C858759069,18450384.63,,C748214608,1141147.27,918332.1,0,0
322,CASH_OUT,$195365.11,C2052689397,0.0,0.0,C160250834,368609.07,563974.18,0,0
379,CASH_OUT,$141559.05,C862746307,,0.0,C531615506,,141559.05,0,0
333,PAYMENT,$8474.73,C1555277206,130969.44,122494.71,M329908761,0.0,0.0,0,0
12,CASH_OUT,$240497.28,C181773271,0.0,0.0,C1016818940,541944.34,,0,0
307,CASH_IN,$108799.47,C1557745318,50010.0,158809.47,C1116117835,0.0,0.0,0,0
252,PAYMENT,$6117.79,C751997689,649481.46,643363.67,M1203542590,0.0,0.0,0,0
258,PAYMENT,$5732.72,C1359089822,,0.0,M1525694207,,0.0,0,0
639,CASH_OUT,$208253.11,C975798201,208253.11,0.0,C1514143343,500417.0,708670.11,1,0
98,TRANSFER,$1122508.34,C1836246597,1122508.34,0.0,C960827392,0.0,0.0,1,0
162,CASH_IN,$359391.59,C363098616,75213.0,434604.59,C929086121,1219834.96,968644.41,0,0
402,CASH_IN,$212972.06,C2074464916,,847489.24,C843847140,2758306.46,2545334.4,0,0
380,PAYMENT,$27856.74,C520961387,26823.66,0.0,M2121272660,0.0,0.0,0,0
236,PAYMENT,$4475.1,C1164657570,0.0,0.0,M1714212473,0.0,0.0,0,0
58,CASH_OUT,$106673.26,C160197221,106673.26,,C431559844,0.0,106673.26,1,0
232,CASH_OUT,$114984.45,C1752328045,,0.0,C1807391094,2119577.82,2234562.27,0,0
727,CASH_OUT,$815384.83,C1882634733,815384.83,0.0,C1883460887,,2435960.09,1,0
395,CASH_IN,$417295.36,C1734830664,107869.0,,C879039142,0.0,0.0,0,0
8,TRANSFER,$1996.17,C1198040187,1996.17,0.0,C1828047633,0.0,0.0,1,0
235,CASH_OUT,$99157.2,C1167177959,0.0,0.0,C1380608635,308463.33,107891.78,0,0
642,PAYMENT,$12469.89,C1660926507,0.0,0.0,M772214199,0.0,0.0,0,0
538,TRANSFER,$1392337.38,C1855947267,1392337.38,0.0,C1347484785,0.0,0.0,1,0
235,PAYMENT,$2385.18,C189106151,0.0,0.0,M521799544,0.0,0.0,0,0
153,PAYMENT,$4466.06,C1645425940,285572.0,281105.94,M987281710,0.0,0.0,0,0
132,CASH_IN,$85520.06,C650751418,6556168.09,6641688.15,C645187727,893866.13,808346.07,0,0
375,CASH_OUT,$161852.11,C110344291,50999.0,0.0,C1379516401,0.0,161852.11,0,0
282,CASH_IN,$94546.11,C1169285279,2287036.48,2381582.59,C2028762715,912113.8,817567.69,0,0
35,PAYMENT,$21020.58,C345584391,0.0,0.0,M766878715,0.0,0.0,0,0
374,PAYMENT,$97.22,C269753953,0.0,0.0,M1067093611,0.0,0.0,0,0
35,CASH_IN,$9601.43,C2036828874,2416515.29,2426116.72,C723875839,,1021103.39,0,0
284,PAYMENT,$6523.47,C531481654,0.0,,M199999034,,0.0,0,0
252,CASH_OUT,$60920.63,C954463086,0.0,0.0,C1838984752,3471858.16,,0,0
230,PAYMENT,$985.87,C261726538,0.0,0.0,M70947003,0.0,0.0,0,0
296,TRANSFER,$5591414.49,C68688915,5591414.49,0.0,C1379652013,0.0,0.0,1,0
139,TRANSFER,$11653.98,C1377280897,11653.98,0.0,C1616326954,0.0,0.0,1,0
395,PAYMENT,$1972.78,C318125427,,0.0,M54036468,0.0,0.0,0,0
326,PAYMENT,$8625.65,C1457718003,0.0,0.0,M1974963639,0.0,0.0,0,0
230,CASH_IN,$287153.97,C927075822,1166.0,288319.97,C1387314385,1064191.21,777037.24,0,0
297,PAYMENT,$20035.52,C2057752902,735311.82,715276.3,M555599387,0.0,0.0,0,0
261,PAYMENT,$6879.97,C841763532,21330.0,14450.03,M175808118,0.0,0.0,0,0
139,PAYMENT,$13357.52,C782331906,14326.0,968.48,M1684600082,0.0,,0,0
257,CASH_IN,$60261.24,C449606440,3133807.4,3194068.64,C157541548,163398.32,103137.08,0,0
208,CASH_IN,$141837.98,C1155027026,608541.0,750378.98,C2122837191,315014.77,173176.78,0,0
376,TRANSFER,$3478108.99,C333419706,112728.0,0.0,C544441549,48424836.33,51902945.32,0,0
15,CASH_IN,$284237.01,C233790216,6240525.61,6524762.62,C1047108779,833547.6,549310.6,0,0
275,CASH_IN,$324584.31,C1654993477,60494.0,385078.31,C1778469130,280649.72,0.0,0,0
717,CASH_OUT,$751854.42,C1391223821,751854.42,0.0,C450487671,11716.66,,1,0
346,CASH_OUT,$105602.35,C2134209337,0.0,0.0,C1561262467,1758390.94,1863993.29,0,0
379,CASH_OUT,$325220.03,C1172212218,57701.0,0.0,C1671465569,0.0,325220.03,0,0
691,PAYMENT,$14600.38,C594834714,0.0,0.0,M1709309429,0.0,0.0,0,0
282,PAYMENT,$7325.77,C1866069433,0.0,0.0,M1376188412,0.0,0.0,0,0
310,TRANSFER,$1085637.56,C575768328,1085637.56,0.0,C1581687599,0.0,0.0,1,0
638,CASH_OUT,$1559540.62,C1776782746,1559540.62,0.0,C915520756,100482.9,,1,0
331,PAYMENT,$5061.77,C49957583,109328.46,104266.69,M1523510593,0.0,0.0,0,0
440,CASH_OUT,$1102791.66,C1074110688,1102791.66,0.0,C528690672,2677101.89,3779893.55,1,0
354,CASH_OUT,$101958.05,C1073591223,0.0,0.0,C99280571,625190.94,727148.98,0,0
325,CASH_OUT,$643617.55,C869600137,0.0,0.0,C1391141483,9272476.03,9916093.58,0,0
235,PAYMENT,$1111.35,C598365357,8132.17,7020.82,M1755705108,0.0,0.0,0,0
202,CASH_OUT,$364677.58,C47111440,0.0,0.0,C885597205,,1357883.45,0,0
212,CASH_OUT,$182695.71,C1789629928,0.0,0.0,C336547000,1371918.95,1554614.66,0,0
186,CASH_OUT,$80442.56,C1724237974,75280.0,0.0,C504118630,210034.36,290476.93,0,0
394,PAYMENT,$9290.54,C287601825,,0.0,M361275696,0.0,0.0,0,0
233,CASH_IN,$110711.63,C603700243,10930208.85,11040920.48,C1474365328,,113670.81,0,0
142,CASH_IN,$33664.65,C1660964420,13977708.14,14011372.79,C651388653,2381211.89,2347547.24,0,0
404,CASH_IN,$146077.04,C778991000,5403583.58,5549660.62,C176362787,402513.13,256436.09,0,0
626,TRANSFER,$55740.39,C1190793859,55740.39,0.0,C31746489,,,1,0
352,CASH_OUT,$22832.17,C138679966,0.0,,C1066733261,31769.47,54601.65,0,0
183,CASH_OUT,$224378.1,C1234321469,224378.1,0.0,C105660024,483419.25,707797.36,1,0
163,CASH_OUT,$202679.86,C900146895,0.0,0.0,C2138129938,3268798.85,3471478.7,0,0
164,PAYMENT,$4244.4,C308037200,0.0,0.0,M839077649,0.0,0.0,0,0
329,CASH_OUT,$309563.45,C47729082,19296.0,0.0,C1271319793,20946.5,330509.95,0,0
38,CASH_IN,$109726.43,C302380502,507812.0,617538.43,C506581729,3297921.01,3188194.58,0,0
398,TRANSFER,$856611.65,C1436081810,0.0,0.0,C2137301525,,6083146.48,0,0
212,TRANSFER,$4953893.08,C728984460,,4953893.08,C639921569,0.0,0.0,1,1
273,TRANSFER,$103078.52,C1724879922,,0.0,C728668261,0.0,0.0,1,0
257,PAYMENT,$8411.27,C1526992231,0.0,0.0,M306690513,0.0,0.0,0,0
463,TRANSFER,$279826.54,C1042499011,279826.54,0.0,C1660783549,0.0,0.0,1,0
635,CASH_OUT,$568918.32,C139275925,568918.32,0.0,C651397987,0.0,568918.32,1,0
253,CASH_OUT,$136422.03,C549977502,0.0,0.0,C842608083,4745775.23,4882197.26,0,0
356,PAYMENT,$913.89,C78815543,0.0,0.0,M1482596074,0.0,0.0,0,0
354,PAYMENT,$17685.35,C1670110236,0.0,0.0,M981121106,,0.0,0,0
16,CASH_OUT,$2198224.71,C705981026,2198224.71,0.0,C697783649,0.0,2198224.71,1,0
326,CASH_IN,$300468.79,C1932721608,9325584.27,9626053.06,C175039779,,1443364.38,0,0
138,TRANSFER,$113364.81,C1248255083,,0.0,C1182837001,156696.9,270061.72,0,0
209,TRANSFER,$366677.89,C1072128036,,,C674241619,783094.68,1149772.57,0,0
15,CASH_OUT,$93542.67,C111675781,497115.35,403572.68,C51213504,645339.6,,0,0
154,PAYMENT,$3192.58,C1958248840,86218.99,,M1050226685,0.0,0.0,0,0
181,CASH_OUT,$313960.97,C1215833017,0.0,0.0,C876652653,3027640.22,3341601.18,0,0
401,CASH_OUT,$1806516.34,C1142691202,1806516.34,0.0,C1363990077,0.0,1806516.34,1,0
438,TRANSFER,$4626269.69,C1985447713,4626269.69,0.0,C1824172019,0.0,0.0,1,0
160,PAYMENT,$13244.25,C1033996950,0.0,,M1891295131,0.0,0.0,0,0
584,CASH_OUT,$1016081.0,C1819971579,1016081.0,0.0,C1976692197,,1016081.0,1,0
115,CASH_OUT,$530377.28,C711344285,530377.28,0.0,C726473569,232558.45,762935.73,1,0
305,CASH_IN,$534019.03,C1125106744,150402.0,684421.03,C1670993087,4270742.09,3736723.06,0,0
42,PAYMENT,$21072.47,C569479455,31447.0,10374.53,M688772201,0.0,0.0,0,0
403,CASH_OUT,$3569.55,C1733717725,149873.0,146303.45,C2146379915,26881.51,30451.06,0,0
658,CASH_OUT,$120582.86,C247557474,120582.86,0.0,C1026686567,,443579.57,1,0
403,CASH_OUT,$265836.1,C622612270,265836.1,,C791486868,5819149.73,6084985.83,1,0
545,CASH_OUT,$45730.59,C1450957536,0.0,0.0,C2020655675,153746.38,199476.97,0,0
353,CASH_IN,$231621.9,C384745318,,5078054.34,C859644452,2667692.2,2436070.3,0,0
398,TRANSFER,$505571.43,C1946854370,505571.43,0.0,C1011987568,0.0,0.0,1,0
739,TRANSFER,$176549.59,C591532921,176549.59,0.0,C1612941843,0.0,0.0,1,0
39,CASH_OUT,$64505.98,C866073000,0.0,0.0,C753097512,192328.46,369392.95,0,0
142,CASH_OUT,$78810.3,C688380113,78810.3,0.0,C1780087922,802788.52,881598.82,1,0
215,PAYMENT,$5972.7,C2006081311,557482.0,551509.3,M17072973,0.0,0.0,0,0
306,CASH_OUT,$143873.57,C1441284841,0.0,0.0,C692464529,407705.23,551578.8,0,0
468,CASH_OUT,$19952.89,C1054388169,19952.89,0.0,C1350880657,41255.75,61208.64,1,0
253,PAYMENT,$43176.93,C1623229928,54533.0,11356.07,M1669065299,0.0,0.0,0,0
226,PAYMENT,$11908.37,C1391958036,256539.97,244631.6,M1643729561,0.0,0.0,0,0
307,CASH_OUT,$57372.62,C1958020780,0.0,,C1509547539,2941705.24,2999077.86,0,0
346,CASH_IN,$241284.04,C511960406,10340878.49,10582162.53,C1387615323,1823961.66,1582677.62,0,0
332,CASH_OUT,$217452.55,C1831223599,0.0,0.0,C1777803948,3397523.64,3614976.2,0,0
45,CASH_OUT,$297510.91,C1635067084,0.0,0.0,C1168266484,2664635.21,2962146.11,0,0
54,CASH_OUT,$438224.6,C1238831225,438224.6,0.0,C296924123,320697.46,758922.05,1,0
204,PAYMENT,$5105.15,C1798011956,20911.0,15805.85,M1337748981,0.0,0.0,0,0
185,CASH_OUT,$26480.31,C182786062,5777.0,0.0,C480128984,0.0,26480.31,0,0
354,CASH_OUT,$177338.12,C1140126458,280953.07,103614.94,C254048489,529795.53,707133.65,0,0
153,TRANSFER,$1027260.28,C95607946,,0.0,C1485064978,0.0,0.0,1,0
60,CASH_OUT,$742973.53,C261473899,742973.53,0.0,C897961171,0.0,742973.53,1,0
244,CASH_OUT,$4448598.93,C222155538,4448598.93,0.0,C377165949,,7644903.53,1,0
212,PAYMENT,$11620.9,C1078667968,0.0,,M1622090706,0.0,0.0,0,0
139,CASH_IN,$55515.4,C574624157,39302.0,94817.4,C1700044093,,0.0,0,0
237,TRANSFER,$10000000.0,C180127057,13924102.18,3924102.18,C2029456603,0.0,0.0,1,0
542,CASH_OUT,$7469051.14,C1841900359,,0.0,C1129100193,94820.42,7563871.56,1,0
691,PAYMENT,$14538.24,C665892975,0.0,0.0,M143322827,0.0,0.0,0,0
129,CASH_OUT,$454726.29,C605737641,0.0,0.0,C1293469943,575704.27,1030430.56,0,0
14,CASH_OUT,$354302.15,C50159967,36101.0,0.0,C12387149,1218003.16,1572305.31,0,0
641,TRANSFER,$2938833.22,C764985389,2938833.22,,C1105589576,0.0,0.0,1,0
303,TRANSFER,$30390.68,C943480538,,0.0,C720245488,1439357.12,1469747.8,0,0
728,CASH_OUT,$3846781.01,C2109752289,3846781.01,0.0,C154510923,46052.98,3892833.98,1,0
522,CASH_OUT,$52006.68,C786917843,133505.0,,C1053895970,1209316.11,1261322.78,0,0
351,CASH_OUT,$36061.21,C1364158561,30260.0,,C2128918653,514096.94,,0,0
234,PAYMENT,$5777.21,C1340467204,52087.09,46309.88,M1305628899,0.0,0.0,0,0
133,PAYMENT,$772.06,C579126651,0.0,0.0,M1958632636,0.0,0.0,0,0
607,CASH_OUT,$265680.73,C74206025,265680.73,0.0,C260243905,71851.62,337532.35,1,0
226,CASH_OUT,$4992.96,C1797152801,0.0,0.0,C1388138703,507917.55,512910.51,0,0
321,TRANSFER,$203874.62,C926108639,203874.62,0.0,C1426041212,0.0,0.0,1,0
257,CASH_OUT,$204012.0,C27764715,11005.0,0.0,C1574370517,1481985.33,,0,0
